# Constructed from biom file
#OTU ID	SRR12442322	SRR12442323	SRR12442324	SRR12442325	SRR12442331	SRR12442342	SRR12442353	SRR12442354	taxonomy
AB275051.1.1738	0.0	0.0	0.0	0.0	0.0	1.0	0.0	68.0	d__Eukaryota; p__Cercozoa; c__Thecofilosea; o__Thecofilosea; f__Thecofilosea; g__uncultured
KC583012.1.1800	11.0	9.0	9.0	2.0	95.0	1.0	16.0	5.0	d__Eukaryota; p__MAST-4; c__MAST-4; o__MAST-4; f__MAST-4; g__MAST-4; s__uncultured_eukaryote
KF130609.1.1753	0.0	19.0	21.0	0.0	3.0	119.0	31.0	11.0	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Trebouxiophyceae; f__Trebouxiophyceae; g__Trebouxiophyceae
KJ759397.1.1799	84.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae
KJ759475.1.1801	0.0	16.0	1.0	0.0	0.0	4.0	8.0	49.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_III; g__Syndiniales_Group_III; s__uncultured_marine
KJ760683.1.1795	1.0	9.0	15.0	0.0	17.0	10.0	0.0	38.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_II; g__Syndiniales_Group_II; s__marine_metagenome
KY054986.1.1708	0.0	23.0	15.0	0.0	3.0	65.0	13.0	6.0	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae
KX532316.1.1337	17.0	65.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales; g__Amoebophrya; s__eukaryote_clone
GU825016.1.1204	13.0	6.0	2.0	12.0	59.0	2.0	0.0	19.0	d__Eukaryota; p__Haptophyta; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales
GU824785.1.1203	10.0	13.0	5.0	12.0	78.0	3.0	6.0	17.0	d__Eukaryota; p__Haptophyta; c__Prymnesiophyceae; o__Prymnesiales
FN690365.1.1703	9.0	31.0	0.0	37.0	1.0	1.0	5.0	1.0	d__Eukaryota; p__Cercozoa; c__Thecofilosea; o__Thecofilosea; f__Thecofilosea; g__uncultured
KF130229.1.1762	12.0	54.0	7.0	21.0	52.0	1.0	2.0	11.0	d__Eukaryota; p__Haptophyta; c__Prymnesiophyceae; o__Prymnesiales; f__Chrysochromulinaceae; g__Chrysochromulina; s__uncultured_eukaryote
GU822961.1.1400	9.0	14.0	0.0	38.0	11.0	3.0	1.0	4.0	d__Eukaryota; p__Labyrinthulomycetes; c__uncultured; o__uncultured; f__uncultured; g__uncultured; s__uncultured_stramenopile
KX532313.1.1340	16.0	21.0	11.0	9.0	23.0	0.0	0.0	2.0	d__Eukaryota; p__MAST-4; c__MAST-4; o__MAST-4; f__MAST-4; g__MAST-4; s__uncultured_eukaryote
KF129652.1.1773	4.0	23.0	0.0	39.0	27.0	0.0	0.0	3.0	d__Eukaryota; p__Labyrinthulomycetes; c__uncultured; o__uncultured; f__uncultured; g__uncultured; s__uncultured_eukaryote
FJ973362.1	31.0	41.0	0.0	0.0	6.0	0.0	0.0	0.0	d__Eukaryota; p__Cercozoa; c__Chlorarachniophyta; o__Chlorarachniophyta; f__Chlorarachniaceae
KF129636.1.1772	16.0	31.0	4.0	1.0	73.0	1.0	12.0	9.0	d__Eukaryota; p__MAST-4; c__MAST-4; o__MAST-4; f__MAST-4; g__MAST-4; s__uncultured_eukaryote
KF130190.1.1760	7.0	12.0	9.0	21.0	5.0	0.0	1.0	0.0	d__Eukaryota; p__MAST-7; c__MAST-7B; o__MAST-7B; f__MAST-7B; g__MAST-7B; s__uncultured_eukaryote
JX188346.1.1760	5.0	15.0	1.0	2.0	11.0	8.0	3.0	24.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_II; g__Syndiniales_Group_II; s__uncultured_eukaryote
AY256257.1.1224	0.0	0.0	0.0	0.0	0.0	17.0	9.0	43.0	d__Eukaryota; p__Diatomea; c__Bacillariophyceae; o__Bacillariophyceae; f__Bacillariophyceae; g__Pseudo-nitzschia; s__uncultured_stramenopile
KF129663.1.1757	9.0	24.0	0.0	0.0	19.0	3.0	3.0	50.0	d__Eukaryota; p__Haptophyta; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__OLI16029; s__uncultured_eukaryote
KJ763454.1.1804	44.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_II; g__Syndiniales_Group_II
KF130458.1.1760	29.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_II; g__Syndiniales_Group_II
KM516201.1.1600	2.0	4.0	0.0	0.0	0.0	3.0	13.0	35.0	d__Eukaryota; p__Cercozoa; c__Thecofilosea; o__Thecofilosea; f__Thecofilosea; g__uncultured; s__Mataza_sp.
KJ763194.1.1798	15.0	41.0	14.0	0.0	0.0	0.0	0.0	4.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae; o__Gymnodiniphycidae
AY620352.1.1266	0.0	3.0	0.0	0.0	0.0	5.0	23.0	25.0	d__Eukaryota; p__Cercozoa; c__Thecofilosea; o__Cryomonadida; f__Protaspidae; g__Protaspa; s__uncultured_Cercozoa
DQ386748.1.1523	7.0	47.0	10.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae; o__Gymnodiniphycidae; f__Gymnodinium_clade; g__Paragymnodinium; s__uncultured_eukaryote
KF130213.1.1750	9.0	3.0	0.0	0.0	0.0	1.0	3.0	50.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales
KU743755.1.1795	12.0	26.0	0.0	0.0	3.0	3.0	7.0	14.0	d__Eukaryota; p__Haptophyta; c__Prymnesiophyceae; o__Prymnesiales; f__Chrysochromulinaceae; g__Chrysochromulina; s__uncultured_eukaryote
KX611425.1.1570	11.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Diatomea; c__Mediophyceae; o__Mediophyceae; f__Mediophyceae; g__Chaetoceros; s__Chaetoceros_mannaii
AY775284.1.1790	16.0	43.0	1.0	0.0	0.0	4.0	0.0	0.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales; g__Amoebophrya; s__Amoebophrya_sp.
AY665034.1.1752	7.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_I; g__Syndiniales_Group_I; s__uncultured_eukaryote
KF130513.1.1764	19.0	30.0	0.0	2.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Cercozoa; c__Chlorarachniophyta; o__Chlorarachniophyta; f__Chlorarachniophyta; g__Minorisa; s__uncultured_eukaryote
KJ763888.1.1810	52.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Retaria; c__Polycystinea; o__Spumellaria; f__Spumellaria; g__Larcopyle; s__Larcopyle_butschlii
MH071711.1.1679	8.0	9.0	8.0	0.0	0.0	4.0	3.0	32.0	d__Eukaryota; p__Chlorophyta; c__Chlorodendrophyceae; o__Chlorodendrales; f__Chlorodendrales; g__Tetraselmis; s__Tetraselmis_sp.
KJ763326.1.1799	37.0	19.0	0.0	3.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae
KF130428.1.1753	6.0	8.0	4.0	2.0	29.0	0.0	1.0	10.0	d__Eukaryota; p__Haptophyta; c__Prymnesiophyceae; o__Prymnesiales
KJ760603.1.1795	22.0	2.0	0.0	0.0	0.0	0.0	37.0	0.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_II; g__Syndiniales_Group_II
KJ763037.1.1797	27.0	17.0	1.0	11.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae; o__Gymnodiniphycidae; f__Gymnodiniphycidae; g__Gyrodinium; s__uncultured_eukaryote
EF526976.1.1804	0.0	2.0	0.0	0.0	0.0	1.0	0.0	45.0	d__Eukaryota; p__Chlorophyta
JQ782067.1.1801	3.0	0.0	3.0	44.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Diatomea; c__Coscinodiscophytina; o__Coscinodiscophytina; f__Rhizosolenids; g__Leptocylindrus; s__uncultured_stramenopile
AY885027.1.1271	7.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales; g__Amoebophrya; s__uncultured_MALV-2_Guillou_II.39
AB252746.1.1726	11.0	18.0	7.0	0.0	0.0	9.0	9.0	27.0	d__Eukaryota; p__Cercozoa; c__Thecofilosea; o__Thecofilosea; f__Thecofilosea; g__uncultured; s__uncultured_Rhizaria
GU823144.1.1205	0.0	1.0	46.0	0.0	0.0	7.0	0.0	4.0	d__Eukaryota; p__Diatomea; c__Bacillariophyceae; o__Bacillariophyceae; f__Bacillariophyceae; g__Pseudo-nitzschia; s__uncultured_stramenopile
KC582902.1.1792	0.0	0.0	0.0	0.0	37.0	3.0	0.0	0.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_I; g__Syndiniales_Group_I
KM067425.1.1568	16.0	8.0	0.0	0.0	0.0	2.0	3.0	16.0	d__Eukaryota; p__Cercozoa; c__Thecofilosea; o__Cryomonadida; f__Protaspidae; g__Cryothecomonas
KM870758.1.1730	3.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Chlorophyta; c__Chlorophyceae; o__Sphaeropleales; f__Sphaeropleales; g__Dictyococcus; s__uncultured_eukaryote
FLMP01003835.956.2747	6.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Diatomea; c__Mediophyceae; o__Mediophyceae; f__Mediophyceae; g__Chaetoceros; s__seawater_metagenome
AB246744.1.1758	2.0	1.0	46.0	0.0	0.0	0.0	0.0	5.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae; o__Peridiniales; f__Peridiniales; g__Blixaea; s__Blixaea_quinquecornis
AY426835.1.1803	2.0	2.0	13.0	11.0	13.0	0.0	0.0	0.0	d__Eukaryota; p__Picozoa; c__Picozoa; o__Picozoa; f__Picozoa; g__Picozoa; s__uncultured_marine
AB466287.1.1730	43.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae; o__Gymnodiniales; f__Polykrikaceae; g__Polykrikos; s__Polykrikos_schwartzii
JF791085.1.1777	12.0	19.0	2.0	0.0	0.0	0.0	3.0	5.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae; o__Gymnodiniphycidae; f__Kareniaceae; g__Karlodinium; s__uncultured_dinoflagellate
KJ763241.1.1797	35.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales; g__Duboscquella; s__unclassified_MALV_1
KC771151.1.1809	7.0	16.0	0.0	23.0	0.0	41.0	0.0	0.0	d__Eukaryota; p__Cercozoa; c__Thecofilosea; o__Cryomonadida; f__Protaspidae; g__Cryothecomonas; s__uncultured_eukaryote
KJ763708.1.1799	1.0	3.0	0.0	0.0	0.0	0.0	3.0	43.0	d__Eukaryota; p__Ochrophyta; c__Chrysophyceae; o__uncultured; f__uncultured; g__uncultured; s__uncultured_marine
AF293685.1	23.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Metazoa; c__Metazoa; o__Metazoa; f__Eumetazoa_Ctenophora; g__Thalassocalyce; s__Thalassocalyce
KF620983.1.1801	9.0	24.0	10.0	0.0	1.0	0.0	0.0	1.0	d__Eukaryota; p__Haptophyta; c__Prymnesiophyceae; o__Prymnesiophyceae; f__Prymnesiophyceae; g__Phaeocystis; s__Haptophyta_environmental
KF129956.1.1743	8.0	6.0	18.0	0.0	0.0	0.0	1.0	0.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_I; g__Syndiniales_Group_I; s__uncultured_eukaryote
EU851173.1.1731	12.0	4.0	0.0	5.0	6.0	7.0	6.0	0.0	d__Eukaryota; p__Labyrinthulomycetes; c__Labyrinthulomycetes; o__Labyrinthulomycetes; f__Thraustochytriaceae; g__Aplanochytrium; s__Aplanochytrium_sp.
KJ762999.1.1800	3.0	9.0	10.0	0.0	1.0	0.0	3.0	3.0	d__Eukaryota; p__Haptophyta; c__Prymnesiophyceae; o__Prymnesiales; f__Chrysochromulinaceae; g__Chrysochromulina
FJ467491.1.1211	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae; o__Gymnodiniphycidae; f__Gymnodinium_clade; g__Erythropsidinium; s__Erythropsidinium_agile
KF129794.1.1759	1.0	2.0	0.0	0.0	32.0	0.0	0.0	0.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales; g__Amoebophrya
KF130052.1.1757	9.0	28.0	3.0	0.0	6.0	11.0	22.0	3.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_II; g__Syndiniales_Group_II; s__uncultured_eukaryote
AY664959.1.1752	13.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_I; g__Syndiniales_Group_I
AJ535178.1.1801	19.0	13.0	0.0	0.0	0.0	2.0	0.0	0.0	d__Eukaryota; p__Diatomea; c__Coscinodiscophytina; o__Coscinodiscophytina; f__Rhizosolenids; g__Rhizosolenia; s__Rhizosolenia_similoides
KP187826.1.1206	9.0	21.0	0.0	0.0	0.0	4.0	0.0	0.0	d__Eukaryota; p__Cercozoa; c__Thecofilosea; o__Cryomonadida; f__Protaspidae; g__Protaspa
KJ762927.1.1798	22.0	20.0	0.0	0.0	0.0	2.0	5.0	0.0	d__Eukaryota
KY980089.1.1695	4.0	26.0	2.0	6.0	0.0	1.0	0.0	0.0	d__Eukaryota; p__Diatomea; c__Coscinodiscophytina; o__Coscinodiscophytina; f__Rhizosolenids; g__Rhizosolenia; s__Rhizosolenia_setigera
KP790150.1.1330	41.0	0.0	0.0	0.0	0.0	4.0	7.0	0.0	d__Eukaryota; p__Dinoflagellata
KR535601.1.1799	42.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae
